step,learning rate,loss,macro_dice
1,5.700082012481288e-05,4.477466731071474,0.006154443054692819
2,0.00020695343373517973,3.8543710589408855,0.02755650506529491
3,0.0004913924972061068,3.483621039390563,0.04276506161666474
4,0.0008824198268121109,3.1717963814735413,0.04889835827518254
5,0.001341682901838794,2.9199842858314518,0.049897275902330895
